id,source_id,season_label,season,season_type,start_date,start_time_tbd,neutral_site,conference_game,game_type,tournament,game_notes,status,home_team_id,home_team,home_conference_id,home_conference,home_seed,away_team_id,away_team,away_conference_id,away_conference,away_seed,venue_id,venue,city,state,home_rating,away_rating,proj_margin,proj_winner,home_score,away_score,mean_spread,actual_margin,VoA_AE,vegas_AE,VoA_SE,vegas_SE,VoA_correct_winner,vegas_correct_winner,VoA_ATS_winner,VoA_AEATS_winner
372414,401851316,20252026,2026,regular,2026-03-14T00:00:00.000000,false,true,true,TRNMNT,,Big East Tournament - Semifinal,scheduled,314,UConn,7,Big East,,97,Georgetown,7,Big East,,371,Madison Square Garden,New York,NY,11.391042445873566,1.7164210327464957,-9.67462141312707,UConn,67,51,-14.25,-16,6.3253785868729295,1.75,40.010414267270576,3.0625,1,1,0,0
372360,401851176,20252026,2026,regular,2026-03-12T01:30:00.000000,false,true,true,TRNMNT,,T. Rowe Price ACC Tournament - 2nd Round,scheduled,52,Clemson,2,ACC,,342,Wake Forest,2,ACC,,428,Spectrum Center,Charlotte,NC,6.809496826911882,1.2038312930193058,-5.6056655338925765,Clemson,71,62,-5.75,-9,3.3943344661074235,3.25,11.521506467804768,10.5625,1,1,0,0
215223,401822976,20252026,2026,regular,2026-03-08T01:00:00.000000,false,false,true,STD,,,scheduled,97,Georgetown,7,Big East,,235,Providence,7,Big East,,226,Capital One Arena,Washington,DC,1.7164210327464957,-1.9021493701896048,-6.6185704029361005,Georgetown,80,79,-1.5,-1,5.6185704029361005,0.5,31.568333372749535,0.25,1,1,0,0
215228,401820794,20252026,2026,regular,2026-03-07T17:00:00.000000,false,false,true,STD,,,scheduled,339,Virginia,2,ACC,,340,Virginia Tech,2,ACC,,227,John Paul Jones Arena,Charlottesville,VA,10.64374700176603,1.3633044393845921,-12.280442562381438,Virginia,76,72,-11.5,-4,8.280442562381438,7.5,68.56572902889808,56.25,1,1,0,0
372375,401851377,20252026,2026,regular,2026-03-12T22:30:00.000000,false,true,true,TRNMNT,,Big Ten Tournament - 3rd Round,scheduled,236,Purdue,10,Big Ten,,212,Northwestern,10,Big Ten,,449,United Center,Chicago,IL,10.638185241414092,0.9060862832626952,-9.732098958151397,Purdue,81,68,-13.75,-13,3.267901041848603,0.75,10.679177219315184,0.5625,1,1,1,0
372226,401851488,20252026,2026,regular,2026-03-06T18:00:00.000000,false,true,true,TRNMNT,,MVC Tournament - Quarterfinal,scheduled,22,Belmont,19,MVC,,70,Drake,19,MVC,,436,Enterprise Center,St. Louis,MO,7.199435582798301,-2.7664431698841696,-9.965878752682471,Belmont,79,100,-12.5,21,30.96587875268247,33.5,958.8856469258317,1122.25,0,0,1,1
372324,401851593,20252026,2026,regular,2026-03-09T23:00:00.000000,false,true,true,TRNMNT,,SoCon Championship - Final,scheduled,75,East Tennessee State,26,SoCon,,93,Furman,26,SoCon,,447,Harrah's Cherokee Center,Asheville,NC,6.00782584320757,2.7473934908363304,-3.2604323523712395,East Tennessee State,61,76,-1.25,15,18.26043235237124,16.25,333.44338969552626,264.0625,0,0,0,0
359037,401828462,20252026,2026,regular,2026-03-07T00:00:00.000000,false,false,true,STD,,,scheduled,64,Dayton,1,A-10,,333,VCU,1,A-10,,76,UD Arena,Dayton,OH,4.275708008401651,7.219211829430776,-0.056496178970874666,Dayton,62,68,-1.25,6,6.056496178970875,7.25,36.6811459658888,52.5625,0,0,1,1
372209,401851201,20252026,2026,regular,2026-03-07T21:00:00.000000,false,false,true,TRNMNT,,America East Playoffs - Quarterfinal,scheduled,186,NJIT,4,Am. East,,154,Maine,4,Am. East,,62,Joel & Diane Bloom Wellness and Events Center,Newark,NJ,-6.3791881420613095,-4.611362618620518,-1.2321744765592086,NJIT,60,58,-3.5,-2,0.7678255234407914,1.5,0.5895560344471252,2.25,1,1,1,1
372418,401851736,20252026,2026,regular,2026-03-14T01:00:00.000000,false,true,true,TRNMNT,,WAC Tournament - Semifinal,scheduled,332,Utah Valley,30,WAC,,324,UT Arlington,30,WAC,,434,Orleans Arena,Las Vegas,NV,6.569384218442067,2.277100190154428,-4.292284028287639,Utah Valley,67,65,-8.25,-2,2.2922840282876393,6.25,5.254566066342607,39.0625,1,1,1,1
372178,401851580,20252026,2026,regular,2026-03-07T00:30:00.000000,false,true,true,TRNMNT,,SoCon Championship - 1st Round,scheduled,320,UNC Greensboro,26,SoCon,,334,VMI,26,SoCon,,447,Harrah's Cherokee Center,Asheville,NC,-4.92883316616998,-10.662381527567703,-5.733548361397723,UNC Greensboro,84,70,-6.75,-14,8.266451638602277,7.25,68.33422269335027,52.5625,1,1,0,0
372308,401851498,20252026,2026,regular,2026-03-12T03:30:00.000000,false,true,true,TRNMNT,,Mountain West Championship - 1st Round,scheduled,25,Boise State,20,Mountain West,,260,San José State,20,Mountain West,,194,Thomas & Mack Center,Las Vegas,NV,3.9982992942604056,-7.522863847297728,-11.521163141558134,Boise State,74,84,-14.75,10,21.521163141558134,24.75,463.1604629655604,612.5625,0,0,1,1
