id,source_id,season_label,season,season_type,start_date,start_time_tbd,neutral_site,conference_game,game_type,tournament,game_notes,status,home_team_id,home_team,home_conference_id,home_conference,home_seed,away_team_id,away_team,away_conference_id,away_conference,away_seed,venue_id,venue,city,state,home_rating,away_rating,proj_margin,proj_winner
372290,401851172,20252026,2026,regular,2026-03-10T23:00:00.000000,false,true,true,TRNMNT,,T. Rowe Price ACC Tournament - 1st Round,scheduled,340,Virginia Tech,2,ACC,,342,Wake Forest,2,ACC,,428,Spectrum Center,Charlotte,NC,1.3633044393845921,1.2038312930193058,-0.1594731463652863,Virginia Tech
372382,401851501,20252026,2026,regular,2026-03-13T01:00:00.000000,false,true,true,TRNMNT,,Mountain West Championship - Quarterfinal,scheduled,257,San Diego State,20,Mountain West,,57,Colorado State,20,Mountain West,,194,Thomas & Mack Center,Las Vegas,NV,3.2463432388936866,8.786108485096477,5.539765246202791,Colorado State
372231,401851701,20252026,2026,regular,2026-03-07T01:30:00.000000,false,true,true,TRNMNT,,Sun Belt Championship - 4th Round,scheduled,265,South Alabama,29,Sun Belt,,99,Georgia Southern,29,Sun Belt,,475,Pensacola Bay Center,Pensacola,FL,1.06440247133321,-3.1900488932381137,-4.254451364571324,South Alabama
372262,401851720,20252026,2026,regular,2026-03-13T00:30:00.000000,false,true,true,TRNMNT,,SWAC Tournament - Quarterfinal,scheduled,274,Southern,25,SWAC,,14,Arkansas-Pine Bluff,25,SWAC,,529,Gateway Center,College Park,GA,-4.912011352910042,-3.853505061394756,1.058506291515286,Arkansas-Pine Bluff
372219,401851246,20252026,2026,regular,2026-03-06T19:30:00.000000,false,true,true,TRNMNT,,ASUN Championship - Quarterfinal,scheduled,143,Lipscomb,3,ASUN,,88,Florida Gulf Coast,3,ASUN,,15,VyStar Veterans Memorial Arena,Jacksonville,FL,0.8628964740399283,-2.900454812494516,-3.7633512865344443,Lipscomb
372352,401851291,20252026,2026,regular,2026-03-11T19:00:00.000000,false,true,true,TRNMNT,,Phillips 66 Big 12 Tournament - 2nd Round,scheduled,312,UCF,6,Big 12,,51,Cincinnati,6,Big 12,,394,T-Mobile Center,Kansas City,MO,0.28742426517008823,1.5714205285193685,1.2839962633492803,Cincinnati
372264,401851494,20252026,2026,regular,2026-03-08T16:00:00.000000,false,true,true,TRNMNT,,MVC Tournament - Final,scheduled,315,UIC,19,MVC,,209,Northern Iowa,19,MVC,,436,Enterprise Center,St. Louis,MO,4.090820366713032,5.306157954538733,1.215337587825701,Northern Iowa
372333,401851367,20252026,2026,regular,2026-03-11T18:30:00.000000,false,true,true,TRNMNT,,Big Ten Tournament - 2nd Round,scheduled,343,Washington,10,Big Ten,,323,USC,10,Big Ten,,449,United Center,Chicago,IL,2.229938919595483,-0.7482365896797205,-2.9781755092752036,Washington
212078,401814603,20252026,2026,regular,2026-03-07T00:00:00.000000,false,false,true,STD,,,scheduled,134,Kent State,17,MAC,,351,Western Michigan,17,MAC,,277,M.A.C. Center,Kent,OH,0.9066498231715343,-5.8481279016843075,-9.754777724855842,Kent State
372408,401851382,20252026,2026,regular,2026-03-13T22:30:00.000000,false,true,true,TRNMNT,,Big Ten Tournament - Quarterfinal,scheduled,188,Nebraska,10,Big Ten,,236,Purdue,10,Big Ten,,449,United Center,Chicago,IL,7.824856759264421,10.638185241414092,2.8133284821496716,Purdue
212099,401805214,20252026,2026,regular,2026-03-08T00:00:00.000000,false,false,true,STD,,,scheduled,1,Abilene Christian,30,WAC,,324,UT Arlington,30,WAC,,159,Moody Coliseum (Abilene),Abilene,TX,-2.422972367364153,2.277100190154428,1.700072557518581,UT Arlington
